abbr,year,population,vacc,dose1,dose2,dose3,dose4,dose5,dose6,dose7,doseUNK,total_dose,total_dose1,total_dose2,td1_sum,dose1_pop_ratio,td2_sum,dose2_pop_ratio,td_sum,dose_pop_ratio,name
DE,2020,83166711,UNK,302640,0,0,0,0,0,0,0,302640,302640,0,302640,0.0036389559760274756,0,0.0,302640,0.0036389559760274756,Germany
DE,2021,83155031,UNK,58928829,56494778,34243605,3781,38,0,0,0,149671031,58928829,56494778,59231469,0.712301688637456,56494778,0.6793909799636777,149973671,1.8035429630228867,Germany
DE,2022,83237124,UNK,1062942,2820549,16391493,12235680,974844,0,0,0,33485508,1062942,2820549,60294411,0.7243692249626501,59315327,0.7126066369135964,183459179,2.204054755664071,Germany
DE,2023,83237124,UNK,10415,11546,45865,363570,192872,0,0,0,624268,10415,11546,60304826,0.724494349420338,59326873,0.7127453490584321,184083447,2.2115546303594056,Germany
DK,2020,5822763,COM,41333,1,0,0,0,0,0,0,41334,41333,1,41333,0.0070985200668479895,1,1.7173977371223935e-07,41334,0.007098691806621702,Denmark
DK,2020,5822763,MOD,6,0,0,0,0,0,0,0,6,6,0,6,1.0304386422734361e-06,0,0.0,6,1.0304386422734361e-06,Denmark
DK,2021,5840045,AZ,152288,2828,323,2,0,0,0,0,155441,152288,2828,152288,0.026076511396744374,2828,0.0004842428440191814,155441,0.026616404496883156,Denmark
DK,2021,5840045,COM,3481073,3574013,2450586,316,4,0,0,0,9505992,3481073,3574013,3522406,0.6031470647914529,3574014,0.611983983000131,9547326,1.6348034989456417,Denmark
DK,2021,5840045,COMBA.1,0,1,3,0,0,0,0,0,4,0,1,0,0.0,1,1.7123155729108252e-07,4,6.849262291643301e-07,Denmark
DK,2021,5840045,COMBA.4-5,0,1,1,0,0,0,0,0,2,0,1,0,0.0,1,1.7123155729108252e-07,2,3.4246311458216503e-07,Denmark
DK,2021,5840045,JANSS,45128,0,18,0,0,0,0,0,45146,45128,0,45128,0.007727337717431972,0,0.0,45146,0.007730419885463211,Denmark
DK,2021,5840045,MOD,560339,632437,274635,149,4,0,0,0,1467564,560339,632437,560345,0.09594874697027163,632437,0.10829317239850035,1467570,0.25129429653367397,Denmark
DK,2022,5873420,AZ,12,23,82,9,2,0,0,0,128,12,23,152300,0.02593037787183617,2851,0.0004854071392817132,155569,0.026486953086957855,Denmark
DK,2022,5873420,COM,18583,40941,647679,81319,2089,0,0,0,790611,18583,40941,3540989,0.602883669139956,3614955,0.6154770133925379,10337937,1.7601222115905213,Denmark
DK,2022,5873420,COMBA.1,0,143,7046,595047,11435,0,0,0,613671,0,143,0,0.0,144,2.4517231868315224e-05,613675,0.1044834185193635,Denmark
DK,2022,5873420,COMBA.4-5,0,202,13714,1125177,21919,0,0,0,1161012,0,202,0,0.0,203,3.456248659213882e-05,1161014,0.19767256555805646,Denmark
DK,2022,5873420,JANSS,189,0,15,5,1,0,0,0,210,189,0,45317,0.007715606920669729,0,0.0,45356,0.0077222470043007314,Denmark
DK,2022,5873420,MOD,2414,11921,218109,65785,1198,0,0,0,299427,2414,11921,562759,0.09581453395125838,644358,0.1097074617514157,1766997,0.3008463552751208,Denmark
DK,2023,5873420,AZ,1,1,2,1,0,0,0,0,5,1,1,152301,0.02593054813039081,2852,0.0004855773978363543,155574,0.02648780437973106,Denmark
DK,2023,5873420,COM,813,970,441,792,115,0,0,0,3131,813,970,3541802,0.6030220893448791,3615925,0.6156421641905397,10341068,1.7606552911251026,Denmark
DK,2023,5873420,COMBA.1,0,13,259,2639,63,0,0,0,2974,0,13,0,0.0,157,2.6730593078649237e-05,616649,0.10498976746086607,Denmark
DK,2023,5873420,COMBA.4-5,0,87,2318,13879,2578,0,0,0,18862,0,87,0,0.0,290,4.93749808459126e-05,1179876,0.20088398241569647,Denmark
DK,2023,5873420,JANSS,22,0,0,0,0,0,0,0,22,22,0,45339,0.007719352608871833,0,0.0,45378,0.007725992692502835,Denmark
DK,2023,5873420,MOD,2,5,49,182,15,0,0,0,253,2,5,562761,0.09581487446836766,644363,0.1097083130441889,1767250,0.300889430689445,Denmark
DK,2023,5873420,UNK,3,1,6,110,6386,0,0,0,6506,3,1,3,5.107756639232338e-07,1,1.7025855464107793e-07,6506,0.001107702156494853,Denmark
EE,2020,1328976,COM,2505,75,0,0,0,0,0,0,2580,2505,75,2505,0.001884909885505833,75,5.643442770975548e-05,2580,0.0019413443132155885,Estonia
